gameTitle,platform,Publisher,developer,ReleaseDate
The Powerpuff Girls: Chemical X-Traction,N64,BAM! Entertainment,VIS Entertainment,14/10/2001
NASCAR Thunder 2002,PS2,EA Sports,EA Tiburon,15/10/2001
Lady Sia,GBA,TDK Mediactive,RFX Interactive,15/10/2001
Spider-Man 2: Enter: Electro,PS,Activision,Vicarious Visions,17/10/2001
Supercar Street Challenge,PS2,Activision,EXAKT Entertainment,22/10/2001
Sunny Garcia Surfing,PS2,Ubisoft,Krome Studios,22/10/2001
Grand Theft Auto III,PS2,Rockstar Games,DMA Design,23/10/2001
Pipe Dreams 3D,PS,Take-Two Interactive,Sick Puppies,23/10/2001
Frogger's Adventures: Temple of the Frog,GBA,Konami,Konami,24/10/2001
"Monsters, Inc.",GBA,THQ,Artificial Mind and Movement,25/10/2001
Gadget Racers,GBA,Conspiracy Entertainment,Takara,27/10/2001
Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,28/10/2001
Tony Hawk's Pro Skater 3,PS,Activision,Neversoft,28/10/2001
Doom,GBA,Activision,David A. Palmer Productions,28/10/2001
Spyro: Season of Ice,GBA,Vivendi Games,Digital Eclipse,29/10/2001
NBA Live 2002,PS2,EA Sports,EA Canada,29/10/2001
Madden NFL 2002,XB,EA Sports,EA Sports,29/10/2001
"Monsters, Inc. Scream Team",PS,Sony Computer Entertainment,Artificial Mind and Movement,30/10/2001
MXRider,PS2,Infogrames,Paradigm Entertainment,30/10/2001
Batman: Vengeance,GBA,Ubisoft,Ubisoft,30/10/2001
Mega Man Xtreme 2,GB,Capcom,Capcom,30/10/2001
Denki Blocks!,GBA,Majesco,Denki,30/10/2001
Sid Meier's Civilization III,PC,Infogrames,Firaxis Games,30/10/2001
Burnout,PS2,Acclaim Entertainment,Criterion Games,01/11/2001
FIFA Soccer 2002,PS2,EA Sports,EA Canada,01/11/2001
FIFA Soccer 2002,PS,EA Sports,EA Canada,01/11/2001
Men in Black The Series: Crashdown,PS,Infogrames,Runecraft,01/11/2001
Power Rangers: Time Force,PS,THQ,Climax Group,02/11/2001
Rocket Power: Dream Scheme,GBA,THQ,Helixe,03/11/2001
Martian Gothic: Unification,PS,Take-Two Interactive,Creative Reality,04/11/2001
SplashDown,PS2,Atari,Rainbow Studios,05/11/2001
SpongeBob SquarePants: SuperSponge,GBA,THQ,Climax Group,05/11/2001
Syphon Filter 3,PS,Sony Computer Entertainment,SCEA Bend Studio,05/11/2001
Victorious Boxers: Ippo's Road to Glory,PS2,Empire Interactive,New,05/11/2001
Driven,PS2,BAM! Entertainment,BAM! Entertainment,06/11/2001
The Powerpuff Girls: Chemical X-Traction,PS,BAM! Entertainment,VIS Entertainment,08/11/2001
Star Wars Rogue Leader: Rogue Squadron II,GC,LucasArts,Factor 5,09/11/2001
Jimmy Neutron: Boy Genius,GBA,THQ,Human Soft,09/11/2001
RC de GO!,PS,Acclaim Entertainment,Taito Corporation,09/11/2001
Half-Life,PS2,Sierra Entertainment,Gearbox Software,11/11/2001
Star Wars: Galactic Battlegrounds,PC,LucasArts,Ensemble Studios,11/11/2001
James Bond 007: Agent Under Fire,PS2,Electronic Arts,EA Redwood Shores,13/11/2001
Tony Hawk's Pro Skater 3,GC,Activision,Neversoft Entertainment,13/11/2001
Stunt GP,PS2,Titus,Team17 Software,13/11/2001
Fuzion Frenzy,XB,Microsoft,Blitz Games,14/11/2001
NFL Fever 2002,XB,Microsoft,Microsoft,14/11/2001
Tony Hawk's Pro Skater 2x,XB,Activision,Treyarch,14/11/2001
Midnight Club: Street Racing,GBA,"Destination Software, Inc",Angel Studios,14/11/2001
Disney's Tarzan Untamed,PS2,Ubisoft,Ubisoft Montreal,14/11/2001
18 Wheeler: American Pro Trucker,PS2,Acclaim Entertainment,Acclaim Studios Cheltenham,14/11/2001
NASCAR Thunder 2002,XB,EA Sports,EA Tiburon,14/11/2001
NHL Hitz 20-02,XB,Midway Games,EA Black Box,14/11/2001
4X4 EVO 2,XB,Gathering of Developers,Terminal Reality,14/11/2001
NASCAR Heat 2002,XB,Infogrames,Monster Games Inc.,14/11/2001
AirForce Delta Storm,XB,Konami,KCE Studios,14/11/2001
Test Drive Off-Road Wide Open,XB,Infogrames,Rockstar San Diego,14/11/2001
Vampire Night,PS2,Namco,Wow Entertainment,14/11/2001
Cel Damage,XB,Electronic Arts,Pseudo Interactive,14/11/2001
Razor Freestyle Scooter,GBA,Crave Entertainment,Crawfish Interactive,14/11/2001
Scooby-Doo,GBA,THQ,Helixe,15/11/2001
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,ASCII Entertainment,VIVARIUM Inc.,15/11/2001
Jeremy McGrath Supercross World,PS2,Acclaim Entertainment,Acclaim Entertainment,15/11/2001
Disney's Donald Duck Advance,GBA,Ubisoft,Ubisoft,15/11/2001
Harry Potter and the Sorcerer's Stone,PC,Electronic Arts,KnowWonder,15/11/2001
Nancy Drew: Message in a Haunted Mansion,GBA,DreamCatcher Interactive,Handheld Games,15/11/2001
Super Monkey Ball,GC,Sega,Amusement Vision,17/11/2001
Wave Race: Blue Storm,GC,Nintendo,Nintendo Software Technology Corporation,17/11/2001
Crazy Taxi,GC,Acclaim Entertainment,Hitmaker,17/11/2001
Batman: Vengeance,GC,Ubisoft,Ubisoft Montreal,17/11/2001
All-Star Baseball 2002,GC,Acclaim Entertainment,Acclaim Entertainment,17/11/2001
Frogger: The Great Quest,PS2,Konami,Konami,18/11/2001
NBA Live 2002,XB,EA Sports,EA Canada,18/11/2001
IL-2 Sturmovik,PC,Ubisoft,1C Maddox Games,18/11/2001
Amped: Freestyle Snowboarding,XB,Microsoft,Indie Built,19/11/2001
Mat Hoffman's Pro BMX,GBA,Activision,HotGen Studios,19/11/2001
Frequency,PS2,Sony Computer Entertainment,Harmonix Music Systems,19/11/2001
Kabuki Warriors,XB,Crave Entertainment,Light Weight,19/11/2001
Madden NFL 2002,GBA,EA Sports,BudCat Creations,20/11/2001
The Sims: Hot Date,PC,Electronic Arts,Maxis,21/11/2001
Jampack Winter 2001,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,21/11/2001
L'Aigle de Guerre,GBA,Nintendo,Genki,21/11/2001
Hot Wheels: Burnin' Rubber,GBA,THQ,Altron,21/11/2001
Midway's Greatest Arcade Hits,GBA,Midway Games,Pocket Studios,22/11/2001
Shenmue II,DC,Sega,Sega-AM2,23/11/2001
The Simpsons: Road Rage,PS2,Electronic Arts,Radical Entertainment,24/11/2001
Azurik: Rise of Perathia,XB,Microsoft,Adrenium,25/11/2001
No Rules: Get Phat,GBA,TDK Mediactive,Flying Tiger Development,25/11/2001
Dark Summit,PS2,THQ,Radical Entertainment,26/11/2001
Jurassic Park III: Island Attack,GBA,Konami,Konami,26/11/2001
XGIII: Extreme G Racing,GC,Acclaim Entertainment,Acclaim Studios Cheltenham,27/11/2001
Dragon Rage,PS2,3DO,3DO,27/11/2001
Super Bust-A-Move,GBA,Ubisoft,Taito Corporation,27/11/2001
LEGO Racers 2,GBA,LEGO Media,Pocket Studios,27/11/2001
Saltwater Sportfishing,PS,Take-Two Interactive,Coresoft,28/11/2001
Dave Mirra Freestyle BMX 2,XB,Acclaim Entertainment,"Z-Axis, Ltd.",28/11/2001
Army Men World War: Team Assault,PS,3DO,3DO,28/11/2001
Driven,GBA,BAM! Entertainment,Crawfish Interactive,28/11/2001
Tsugunai: Atonement,PS2,Atlus,Cattle Call,29/11/2001
Rampage Puzzle Attack,GBA,Midway Games,Ninai Games,29/11/2001
M&M's Blast!,GBA,Majesco,Pipe Dream Interactive,01/12/2001
Baldur's Gate: Dark Alliance,PS2,VU Games,Snowblind Studios,02/12/2001
SSX Tricky,GC,EA Sports BIG,EA Canada,02/12/2001
Legends of Wrestling,PS2,Acclaim Entertainment,Acclaim Studios Salt Lake City,03/12/2001
NFL GameDay 2002,PS2,Sony Computer Entertainment,Red Zone Entertainment,03/12/2001
Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,Naughty Dog,04/12/2001
Namco Museum,PS2,Namco,Mass Media,04/12/2001
Mega Man X6,PS,Capcom,Capcom,04/12/2001
The Legend of Alon D'ar,PS2,Ubisoft,Stormfront Studios,04/12/2001
American Bass Challenge,GBA,Ubisoft,Starfish,05/12/2001
Star Trek: Voyager Elite Force,PS2,Majesco,Pipe Dream Interactive,06/12/2001
MX 2002 Featuring Ricky Carmichael,XB,THQ,Pacific Coast Power & Light,06/12/2001
Planet Monsters,GBA,Titus,Planet Interactive,06/12/2001
Magical Vacation,GBA,Nintendo,Brownie Brown,07/12/2001
Kao the Kangaroo,GBA,Titus,Titus Software,11/12/2001
Max Payne,XB,Rockstar Games,neo Software,12/12/2001
Mortal Kombat Advance,GBA,Midway Games,Virtucraft,12/12/2001
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,Hudson Soft,Hudson Soft,13/12/2001
World Soccer Winning Eleven 5 Final Evolution,PS2,Konami,Konami,13/12/2001
Pajama Sam: You are What You Eat From Your Head to Your Feet,PS,Infogrames,Runecraft,14/12/2001
The Simpsons: Road Rage,GC,Electronic Arts,Radical Entertainment,17/12/2001
Jade Cocoon 2,PS2,Ubisoft,Genki,17/12/2001
Universal Studios Theme Parks Adventure,GC,Kemco,Kemco,18/12/2001
Star Wars: Obi-Wan,XB,LucasArts,LucasArts,19/12/2001
Silent Hill 2: Restless Dreams,XB,Konami,KCET,20/12/2001
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,PS2,Konami,Diamond Head,20/12/2001
Hoshigami: Ruining Blue Earth,PS,Atlus,Max Five,20/12/2001
Blood Wake,XB,Microsoft,Stormfront Studios,25/12/2001
Jonny Moseley Mad Trix,PS2,3DO,3DO,26/12/2001
Tiny Toon Adventures: Wacky Stackers,GBA,Conspiracy Entertainment,Warthog,30/12/2001
Exhibition,XB,Microsoft,Various,01/01/2002
Pink Panther: Pinkadelic Pursuit,GBA,DreamCatcher Interactive,Super Empire,01/01/2002
Cel Damage,GC,Electronic Arts,Pseudo Interactive,07/01/2002
NBA 2K2,PS2,Sega,Visual Concepts,12/01/2002
NBA Courtside 2002,GC,Nintendo,Left Field Productions,13/01/2002
Mobile Suit Gundam: Zeonic Front,PS2,Bandai,Sunrise Interactive,15/01/2002
Dark Arena,GBA,Majesco,Graphic State,18/01/2002
Salt Lake 2002,GBA,Ubisoft,DC Studios,19/01/2002
Medal of Honor: Allied Assault,PC,Electronic Arts,"2015, Inc.",20/01/2002
NBA Inside Drive 2002,XB,Microsoft,High Voltage Software,21/01/2002
NightCaster,XB,Microsoft,Jaleco Entertainment,21/01/2002
Godai: Elemental Force,PS2,3DO,3DO,21/01/2002
ESPN NFL Primetime 2002,XB,Konami,Farsight Technologies,22/01/2002
PaRappa The Rapper 2,PS2,Sony Computer Entertainment,NanaOn-Sha,23/01/2002
Tekken Advance,GBA,Namco,Eighting / Raizing,28/01/2002
Drakan: The Ancients' Gates,PS2,Sony Computer Entertainment,Surreal Software,28/01/2002
Genma Onimusha,XB,Capcom,Capcom,28/01/2002
ESPN International Winter Sports 2002,PS2,Konami,Konami Computer Entertainment Osaka,28/01/2002
Salt Lake 2002,PS2,Eidos Interactive,Attention To Detail,29/01/2002
Mall Tycoon,PC,Take-Two Interactive,"Holistic Design, Inc.",03/02/2002
Sonic Advance,GBA,Sega,Dimps Corporation / Sonic Team,04/02/2002
Wreckless: ThE YaKuza MisSiOns,XB,Activision,Bunkasha Publishing,04/02/2002
Serious Sam: The Second Encounter,PC,Take-Two Interactive,Croteam,04/02/2002
NFL Blitz 20-02,PS2,Midway Games,Point of View,06/02/2002
High Heat Major League Baseball 2003,PS2,3DO,3DO,09/02/2002
Trainz,PC,Strategy First,Auran Games,10/02/2002
Maximo: Ghosts to Glory,PS2,Capcom,Capcom,11/02/2002
Puyo Pop,GBA,THQ,Sonic Team,11/02/2002
State of Emergency,PS2,Rockstar Games,VIS Entertainment,12/02/2002
Peter Pan in Disney's Return to Never Land,PS,Sony Computer Entertainment,Doki Denki,14/02/2002
Destroyer Command,PC,Ubisoft,Ultimation Inc,14/02/2002
NBA Street,GC,EA Sports BIG,NuFX,17/02/2002
Pirates: The Legend of Black Kat,PS2,Electronic Arts,Westwood Studios,17/02/2002
New Legends,XB,THQ,Infinite Machine,17/02/2002
18 Wheeler: American Pro Trucker,GC,Acclaim Entertainment,Acclaim Studios Cheltenham,18/02/2002
Smashing Drive,GC,Namco,Point of View,18/02/2002
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,DreamCatcher Interactive,EKO System,19/02/2002
Tiger Woods PGA Tour 2002,PS2,EA Sports,EA Sports,24/02/2002
Circus Maximus: Chariot Wars,XB,Encore,Kodiak Interactive,24/02/2002
Digimon Rumble Arena,PS,Bandai,Bandai,24/02/2002
All-Star Baseball 2003,GC,Acclaim Entertainment,Acclaim Entertainment,25/02/2002
ESPN NBA 2Night 2002,PS2,Konami,Konami Computer Entertainment Osaka,25/02/2002
Command & Conquer Renegade,PC,Electronic Arts,Westwood Studios,25/02/2002
All-Star Baseball 2003,PS2,Acclaim Entertainment,Acclaim Entertainment,26/02/2002
Jeremy McGrath Supercross World,GC,Acclaim Entertainment,Acclaim Entertainment,27/02/2002
Star Trek: Bridge Commander,PC,Activision,Totally Games,27/02/2002
Shadow Man: 2econd Coming,PS2,Acclaim Entertainment,Acclaim Studios Teesside,02/03/2002
Knockout Kings 2002,XB,EA Sports,Black Ops Entertainment,04/03/2002
Herdy Gerdy,PS2,Eidos Interactive,Core Design Ltd.,04/03/2002
Fatal Frame,PS2,Tecmo,Tecmo,04/03/2002
High Heat Major League Baseball 2003,GBA,3DO,Mobius Entertainment,05/03/2002
Gauntlet: Dark Legacy,GC,Midway Games,Midway Games West,06/03/2002
Mike Tyson Boxing,GBA,Ubisoft,Virtuacraft,06/03/2002
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,Sega,Smilebit,07/03/2002
NHL 2002,GBA,EA Sports,BudCat Creations,07/03/2002
MotoGP,GBA,THQ,Visual Impact,08/03/2002
Star Wars: Jedi Starfighter,PS2,LucasArts,Secret Level,10/03/2002
Spy Hunter,XB,Midway Games,Point of View,10/03/2002
Grandia II,PC,Ubisoft,Game Arts,10/03/2002
Hot Shots Golf 3,PS2,Sony Computer Entertainment,Clap Hanz,11/03/2002
Triple Play 2002,PS2,EA Sports,Pandemic Studios,11/03/2002
Sled Storm,PS2,EA Sports BIG,EA Canada,11/03/2002
Mister Mosquito,PS2,Eidos Interactive,Zoom Inc.,12/03/2002
Ice Age,GBA,Ubisoft,A2M,18/03/2002
Triple Play 2002,XB,EA Sports,Pandemic Studios,18/03/2002
NFL Blitz 20-02,GC,Midway Games,Point of View,18/03/2002
Sega Soccer Slam,GC,Sega,Black Box Games,18/03/2002
Pac-Man World 2,GC,Namco,Namco,19/03/2002
"Monsters, Inc.",PS2,Sony Computer Entertainment,Artificial Mind and Movement,19/03/2002
Space Invaders,GBA,Activision,Torus Games,19/03/2002
From TV Animation One Piece: Grand Battle 2,PS,Bandai,Bandai,20/03/2002
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,Konami,KCEJ,20/03/2002
Smash Court Tennis Pro Tournament,PS2,Namco,Namco,20/03/2002
NBA 2K2,GC,Sega,Visual Concepts,20/03/2002
"Sakura Wars 4: Koi Seyo,Otome",DC,Sega,Overworks,21/03/2002
Motocross Maniacs Advance,GBA,Konami,"Konami Computer Entertainment America, Inc. Honolulu Studio",21/03/2002
Pirates: The Legend of Black Kat,XB,Electronic Arts,Westwood Studios,24/03/2002
The Ripping Friends,GBA,THQ,Creations,24/03/2002
Freedom Force,PC,Crave Entertainment,Irrational Games,24/03/2002
The Sims: Vacation,PC,Electronic Arts,Maxis,25/03/2002
Britney's Dance Beat,GBA,THQ,Art,25/03/2002
Deus Ex: The Conspiracy,PS2,Eidos Interactive,Ion Storm,25/03/2002
King's Field: The Ancient City,PS2,Agetec,From Software,25/03/2002
Disney's Donald Duck: Goin' Quackers,GC,Ubisoft,Ubisoft Montreal,25/03/2002
ESPN MLS ExtraTime 2002,GC,Konami,Konami Computer Entertainment America,25/03/2002
James Bond 007: Agent Under Fire,XB,Electronic Arts,EA Redwood Shores,26/03/2002
World of Outlaws: Sprint Cars 2002,PS2,Infogrames,Ratbag,26/03/2002
WTA Tour Tennis,PS2,Konami,Konami,26/03/2002
Army Men: RTS,PS2,3DO,Pandemic Studios,27/03/2002
Super Robot Taisen Impact,PS2,Banpresto,Banpresto,28/03/2002
Top Angler: Real Bass Fishing,PS2,Xicat Interactive,SIMS,28/03/2002
Heroes of Might and Magic IV,PC,3DO,New World Computing,29/03/2002
The Scorpion King: Sword of Osiris,GBA,Vivendi Games,WayForward,31/03/2002
Wolfenstein 3D,GBA,BAM! Entertainment,Stalker Entertainment,31/03/2002
Savage Skies,PS2,BAM! Entertainment,iRock Interactive,31/03/2002
Virtual Kasparov,GBA,Titus,Titus Software,31/03/2002
The Three Stooges,GBA,Metro 3D,Cinemaware,31/03/2002
X-Bladez: In-Line Skater,GBA,Crave Entertainment,Crave,05/04/2002
Simon the Sorcerer 3D,PC,Adventure Soft,Headfirst Productions,13/04/2002
Spider-Man: The Movie,PS2,Activision,Treyarch,15/04/2002
Crash Bandicoot: The Wrath of Cortex,XB,Universal Interactive,Traveller's Tales,15/04/2002
Spider-Man: The Movie,GC,Activision,Treyarch,15/04/2002
Gauntlet: Dark Legacy,XB,Midway Games,Midway Games West,15/04/2002
Blender Bros.,GBA,Atari,Hudson,15/04/2002
Breath of Fire II,GBA,Capcom,Capcom,16/04/2002
RedCard 20-03,PS2,Midway Games,Point of View,16/04/2002
ESPN NBA 2Night 2002,XB,Konami,Konami Computer Entertainment Osaka,16/04/2002
Star X,GBA,BAM! Entertainment,Graphic State,17/04/2002
Netsu Chu! Pro Yakyuu 2002,PS2,Namco,Namco,18/04/2002
2002 FIFA World Cup,XB,EA Sports,EA Canada,22/04/2002
Tactical Ops: Assault on Terror,PC,Atari,Kamehan Studios,24/04/2002
Tennis no Oji-Sama: Genius Boys Academy,GBA,Konami,Konami,25/04/2002
World Soccer Winning Eleven 2002,PS,Konami,Konami,25/04/2002
Nichibeikan Pro Yakyuu: Final League,PS2,Square,SquareSoft,25/04/2002
Next Generation of Chaos,PS2,Idea Factory,Neverland,25/04/2002
GT Advance 3: Pro Concept Racing,GBA,THQ,MTO,26/04/2002
Burnout,GC,Acclaim Entertainment,Criterion Games,29/04/2002
Burnout,XB,Acclaim Entertainment,Criterion Games,29/04/2002
Dinotopia: The Timestone Pirates,GBA,TDK Core,TDK Mediactive,30/04/2002
Transworld Surf,PS2,Atari,Angel Studios,30/04/2002
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,Bandai,Bandai,02/05/2002
Big Bass Fishing,PS,Take-Two Interactive,Unknown,02/05/2002
ZooCube,GC,Acclaim Entertainment,PuzzleKings,05/05/2002
NASCAR Heat 2002,GBA,Infogrames,Crawfish Interactive,06/05/2002
Britney's Dance Beat,PS2,THQ,Metro Graphics,08/05/2002
Desert Strike Advance,GBA,Electronic Arts,BudCat Creations,08/05/2002
Headhunter,PS2,Sega,Amuze,09/05/2002
Tactics Ogre: The Knight of Lodis,GBA,Atlus,Quest Corporation,11/05/2002
Smashing Drive,XB,Namco,Point of View,13/05/2002
ZooCube,GBA,Acclaim Entertainment,PuzzleKings,14/05/2002
Aero The Acro-Bat,GBA,Metro 3D,Atomic Planet Entertainment,14/05/2002
Punch King,GBA,Acclaim Entertainment,Full Fat,15/05/2002
Captain Tsubasa: Aratanaru Densetsu Joshou,PS,Konami,Konami,16/05/2002
Jikkyou World Soccer 2002,PS2,Konami,Konami,16/05/2002
World Series Baseball,XB,Sega,Blueshift,19/05/2002
Spy Hunter,GBA,Midway Games,Midway Games,19/05/2002
Virtua Striker 2002,GC,Sega,Amusement Vision,20/05/2002
Grand Theft Auto III,PC,Rockstar Games,DMA Design,20/05/2002
Hunter: The Reckoning,XB,Interplay,High Voltage Software,21/05/2002
Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,PS2,Enix,Enix,23/05/2002
Tsuki no Hikari: Shizumeru Kane no Satsujin,PS2,Victor Interactive,Victor Interactive Software,23/05/2002
Kidou Senshi Gundam Vol.3 -A Baoa Qu-,WS,Bandai,Bandai,25/05/2002
Frogger Advance: The Great Quest,GBA,Konami,KCEA,26/05/2002
Looney Tunes: Space Race,PS2,Infogrames,Infogrames Melbourne,27/05/2002
Lost Kingdoms,GC,Activision,From Software,27/05/2002
Legends of Wrestling,XB,Acclaim Entertainment,Acclaim Studios Salt Lake City,27/05/2002
Legends of Wrestling,GC,Acclaim Entertainment,Acclaim Studios Salt Lake City,27/05/2002
Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,28/05/2002
Jampack Summer 2002,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,28/05/2002
Aggressive Inline,PS2,Acclaim Entertainment,"Z-Axis, Ltd.",28/05/2002
Hooligans,PC,Hip Interactive,Darxabre,28/05/2002
Dragon Ball Z: Collectible Card Game,GBA,Infogrames,Magellan Interactive,29/05/2002
Spirit: Stallion of the Cimarron,GBA,THQ,Hyperspace Cowgirls,29/05/2002
Dropship: United Peace Force,PS2,BAM! Entertainment,Psygnosis Camden Studio,29/05/2002
Tiger Woods PGA Tour Golf,GBA,"Destination Software, Inc",Rebellion Developments,29/05/2002
Star Wars Episode II: Attack of the Clones,GBA,THQ,David A. Palmer Productions,30/05/2002
Backyard Baseball,GBA,Atari,Game Brains,30/05/2002
Project FIFA World Cup,PS2,EA Sports,Electronic Arts,30/05/2002
Bomberman Max 2: Blue Advance,GBA,Majesco,Hudson Soft,30/05/2002
Bomberman Max 2: Red Advance,GBA,Majesco,Hudson Soft,30/05/2002
Konohana 2: Todoke Kanai Requiem,PS2,Success,Vridge,30/05/2002
RollerCoaster Tycoon: Gold Edition,PC,Infogrames,Infogrames,30/05/2002
Lethal Skies Elite Pilot: Team SW,PS2,Sammy Corporation,"Asmik Ace Entertainment, Inc.",31/05/2002
All-Star Baseball 2003,GBA,Acclaim Entertainment,Software Creations,31/05/2002
WTA Tour Tennis,GBA,Konami,Konami,31/05/2002
Ultimate Fighting Championship: Throwdown,PS2,Crave Entertainment,Opus Studio,03/06/2002
Bomberman Generation,GC,Majesco,Game Arts,03/06/2002
Endgame,PS2,Empire Interactive,Cunning Developments,04/06/2002
The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,Bethesda Softworks,06/06/2002
WWE Wrestlemania X8,GC,THQ,Yuke's,09/06/2002
Outlaw Golf,XB,Simon & Schuster Interactive,Hypnotix,10/06/2002
Pryzm Chapter One: The Dark Unicorn,PS2,TDK Mediactive,Digital Illusions,10/06/2002
Robopon 2: Cross Version,GBA,Atlus,RED Entertainment,11/06/2002
Robopon 2: Ring Version,GBA,Atlus,RED Entertainment,11/06/2002
Monster Jam: Maximum Destruction,PS2,Ubisoft,Ubisoft,13/06/2002
RalliSport Challenge (JP sales),XB,Microsoft,Digital Illusions,13/06/2002
F1 2002,PC,EA Sports,Image Space Inc.,13/06/2002
Downforce,PS2,Titus,SmartDog,14/06/2002
Freekstyle,PS2,EA Sports BIG,Page 44 Studios,17/06/2002
WipEout Fusion,PS2,BAM! Entertainment,Studio Liverpool,17/06/2002
LEGO Soccer Mania,GBA,LEGO Media,Tiertex Design Studios,17/06/2002
Shifters,PS2,3DO,3DO,17/06/2002
PoPoLoCrois: Hajimari no Bouken,PS2,Sony Computer Entertainment,SCEA,20/06/2002
Roommate Asami: Okusama wa Joshikousei,PS2,Datam Polystar,Datam Polystar,20/06/2002
Ashita no Joe 2: The Anime Super Remix,PS2,Capcom,Capcom,20/06/2002
Stuntman,PS2,Atari,Reflections Interactive,23/06/2002
Cubix Robots for Everyone: Clash 'n' Bash,GBA,10TACLE Studios,Blitz Games,24/06/2002
Sky Gunner,PS2,Atlus,Pixel Arts,24/06/2002
Maximum Capacity: Hotel Giant,PC,JoWood Productions,Enlight Software Ltd.,24/06/2002
Romance of the Three Kingdoms VII,PS2,KOEI,Koei,25/06/2002
Medabots AX: Metabee / Rokusho Ver.,GBA,Natsume,"Imagineer Co., Ltd.",25/06/2002
SplashDown,XB,Atari,Rainbow Studios,25/06/2002
MX SuperFly featuring Ricky Carmichael,GC,THQ,Pacific Coast Power & Light,25/06/2002
Gravity Games Bike: Street Vert Dirt,PS2,Midway Games,Midway Games,27/06/2002
Operation Flashpoint: Resistance,PC,Codemasters,Bohemia Interactive,10/07/2002
Stuart Little 2,GBA,Activision,Creations,12/07/2002
Matchbox Cross Town Heroes,GBA,THQ,Magellan Interactive,14/07/2002
Jikkyou Powerful Pro Yakyuu 9,PS2,Konami,Diamond Head,18/07/2002
Kamaitachi no Yoru 2,PS2,ChunSoft,ChunSoft,18/07/2002
NCAA Football 2003,PS2,EA Sports,EA Tiburon,20/07/2002
NCAA Football 2003,XB,EA Sports,EA Tiburon,20/07/2002
Shadow of Destiny,PC,Konami,Runecraft,22/07/2002
Crazy Taxi 3: High Roller,XB,Sega,Hitmaker,24/07/2002
Enclave,XB,Conspiracy Entertainment,Starbreeze Studios,29/07/2002
Hidden Invasion,PS2,Conspiracy Entertainment,Toka,29/07/2002
Ultimate Fighting Championship: Throwdown,GC,Crave Entertainment,Opus Studio,29/07/2002
Aggressive Inline,XB,Acclaim Entertainment,"Z-Axis, Ltd.",29/07/2002
XXX,GBA,Activision,Digital Eclipse,31/07/2002
Aggressive Inline,GC,Acclaim Entertainment,"Z-Axis, Ltd.",31/07/2002
Madden NFL 2003,PS2,EA Sports,EA Tiburon,12/08/2002
NFL 2K3,PS2,Sega,Visual Concepts,12/08/2002
Madden NFL 2003,XB,EA Sports,EA Tiburon,12/08/2002
Mat Hoffman's Pro BMX 2,PS2,Activision,Rainbow Studios,12/08/2002
Madden NFL 2003,GC,EA Sports,EA Tiburon,12/08/2002
NFL GameDay 2003,PS2,Sony Computer Entertainment,989 Sports,12/08/2002
NFL Blitz 20-03,XB,Midway Games,Point of View,12/08/2002
Beach Spikers: Virtua Beach Volleyball,GC,Sega,Sega-AM2,12/08/2002
Duke Nukem Advance,GBA,Take-Two Interactive,Torus Games,12/08/2002
NFL Blitz 20-03,GBA,Midway Games,OutLook Entertainment,12/08/2002
Disney's Magical Quest Starring Mickey and Minnie,GBA,Nintendo,Capcom,13/08/2002
Mat Hoffman's Pro BMX 2,GBA,Activision,HotGen Studios,13/08/2002
NCAA GameBreaker 2003,PS2,Sony Computer Entertainment,989 Sports,14/08/2002
Dead to Rights,XB,Namco,Namco,19/08/2002
The Thing,PS2,VU Games,Computer Artworks,19/08/2002
Medieval: Total War,PC,Activision,The Creative Assembly,19/08/2002
Tony Hawk's Pro Skater 3,N64,Activision,Edge of Reality,20/08/2002
Kong: The Animated Series,GBA,BAM! Entertainment,Planet Interactive,20/08/2002
Dino Crisis 2,PC,Capcom,Capcom Production Studio 4,20/08/2002
Spy Kids Challenger,GBA,Disney Interactive Studios,Game Titan,21/08/2002
NFL 2K3,GC,Sega,Visual Concepts,21/08/2002
Kelly Slater's Pro Surfer,GBA,Activision,HotGen Studios,21/08/2002
Sega Soccer Slam,XB,Sega,Black Box Games,22/08/2002
MLB SlugFest 20-03,XB,Midway Games,Gratuitous Games,26/08/2002
Turok: Evolution,GBA,Acclaim Entertainment,RFX Interactive,26/08/2002
SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment,Zipper Interactive,27/08/2002
Aggressive Inline,GBA,Acclaim Entertainment,Full-Fat,27/08/2002
Guilty Gear X: Advance Edition,GBA,Sammy Corporation,Arc System Works,29/08/2002
